ID particle mass_GeV uncert spin_deg n_baryon n_strange X X X n_charge X
9090225	f2(2340)	2.345	0.322	5	0	0	0	0	0	0	3 
9060225	f2(2300)	2.297	0.149	5	0	0	0	0	0	0	4 
9050221	f0(2020)	1.992	0.442	1	0	0	0	0	0	0	8 
9040225	f2(1910)	1.903	0.196	5	0	0	0	0	0	0	4 
9040221	eta(1760)	1.756	0.096	1	0	0	0	0	0	0	4 
9030225	f2(1810)	1.815	0.197	5	0	0	0	0	0	0	3 
9020225	f2(1640)	1.639	0.099	5	0	0	0	0	0	0	7 
9020221	f0(1500)	1.507	0.109	1	0	0	0	0	0	0	12 
9020213	a1(1640)+	1.647	0.254	3	0	0	0	0	0	1	3 
9020113	a1(1640)0	1.647	0.254	3	0	0	0	0	0	0	4 
9010221	f0(980)	0.99	0.07	1	0	0	0	0	0	0	4 
9010213	pi1(1600)+	1.662	0.23	3	0	0	0	0	0	1	4 
9010113	pi1(1600)0	1.662	0.23	3	0	0	0	0	0	0	5 
9000325	K2(1580)+	1.46	0.11	5	0	1	0	0	0	1	5 
9000323	K1(1650)+	1.65	0.15	3	0	1	0	0	0	1	5 
9000315	K2(1580)0	1.46	0.11	5	0	1	0	0	0	0	5 
9000313	K1(1650)0	1.65	0.15	3	0	1	0	0	0	0	5 
9000225	f2(1430)	1.43	0.013	5	0	0	0	0	0	0	5 
9000217	rho3(1990)+	1.982	0.188	7	0	0	0	0	0	1	1 
9000215	a2(1700)+	1.732	0.19	5	0	0	0	0	0	1	3 
9000213	pi1(1400)+	1.351	0.31	3	0	0	0	0	0	1	1 
9000211	a0(980)+	0.98	0.075	1	0	0	0	0	0	1	2 
9000117	rho3(1990)0	1.982	0.188	7	0	0	0	0	0	0	1 
9000115	a2(1700)0	1.732	0.19	5	0	0	0	0	0	0	4 
9000113	pi1(1400)0	1.351	0.31	3	0	0	0	0	0	0	1 
9000111	a0(980)0	0.98	0.075	1	0	0	0	0	0	0	2 
4000024	N(2040)+	2.04	0.23	4	1	0	0	0	0.5	1	1 
4000023	N(2040)0	2.04	0.23	4	1	0	0	0	0.5	0	1 
4000022	N(2100)+	2.1	0.29	2	1	0	0	0	0.5	1	10 
4000021	N(2100)0	2.1	0.29	2	1	0	0	0	0.5	0	10 
4000020	N(2570)+	2.57	0.3	6	1	0	0	0	0.5	1	1 
4000019	N(2570)0	2.57	0.3	6	1	0	0	0	0.5	0	1 
4000018	Omega(2470)	2.474	0.072	2	1	-3	0	0	0	-1	2 
4000017	f6(2510)	2.469	0.283	13	0	0	0	0	0	0	3 
4000016	Omega(2380)	2.38	0.026	2	1	-3	0	0	0	-1	9 
4000015	rho5(2350)+	2.33	0.4	11	0	0	0	0	1	1	1 
4000014	rho5(2350)0	2.33	0.4	11	0	0	0	0	1	0	1 
4000013	N(2300)+	2.3	0.3	2	1	0	0	0	0.5	1	1 
4000012	N(2300)0	2.3	0.3	2	1	0	0	0	0.5	0	1 
